content_uid,name,type,serial_id,genres,duration_seconds
9882,"""Шоу ""Студия ""Союз""",serial_with_season,,"Игровое шоу,Музыка",
13701,"""Шоу ""Студия ""Союз""",episode,9882,"",2823
12274,"""Шоу ""Студия ""Союз""",episode,9882,"",2694
13579,"""Шоу ""Студия ""Союз""",episode,9882,"",2739
18055,"""Шоу ""Студия ""Союз""",episode,9882,"",2887
12307,"""Шоу ""Студия ""Союз""",episode,9882,"",2708
13727,"""Шоу ""Студия ""Союз""",episode,9882,"",2741
13742,"""Шоу ""Студия ""Союз""",episode,9882,"",2682
13728,"""Шоу ""Студия ""Союз""",episode,9882,"",2645
13758,"""Шоу ""Студия ""Союз""",episode,9882,"",2766
13771,"""Шоу ""Студия ""Союз""",episode,9882,"",2681
17922,"""Шоу ""Студия ""Союз""",episode,9882,"",2736
12257,"""Шоу ""Студия ""Союз""",episode,9882,"",2719
18059,"""Шоу ""Студия ""Союз""",episode,9882,"",2648
13772,"""Шоу ""Студия ""Союз""",episode,9882,"",2840
13787,"""Шоу ""Студия ""Союз""",episode,9882,"",2656
13732,"""Шоу ""Студия ""Союз""",episode,9882,"",2749
18069,"""Шоу ""Студия ""Союз""",episode,9882,"",2616
13746,"""Шоу ""Студия ""Союз""",episode,9882,"",2663
12259,"""Шоу ""Студия ""Союз""",episode,9882,"",2516
13427,"""Шоу ""Студия ""Союз""",episode,9882,"",2574
13429,"""Шоу ""Студия ""Союз""",episode,9882,"",2576
13430,"""Шоу ""Студия ""Союз""",episode,9882,"",2672
2928,"""Шоу ""Студия ""Союз""",episode,9882,"",2683
9531,"""Шоу ""Студия ""Союз""",episode,9882,"",2658
15785,"""Шоу ""Студия ""Союз""",episode,9882,"",2742
25863,"""Шоу ""Студия ""Союз""",episode,9882,"",2629
28069,"""Шоу ""Студия ""Союз""",episode,9882,"",2616
27957,"""Шоу ""Студия ""Союз""",episode,9882,"",2787
4263,"""Шоу ""Студия ""Союз""",episode,9882,"",2618
15636,"""Шоу ""Студия ""Союз""",episode,9882,"",2644
18454,"""Шоу ""Студия ""Союз""",episode,9882,"",2670
13531,"""Шоу ""Студия ""Союз""",episode,9882,"",2710
18427,"""Шоу ""Студия ""Союз""",episode,9882,"",2677
19870,#СидЯдома,serial_with_season,,Комедия,
21600,#СидЯдома,episode,19870,Комедия,1205
19449,#СидЯдома,episode,19870,Комедия,1627
23424,#СидЯдома,episode,19870,Комедия,1776
19447,#СидЯдома,episode,19870,Комедия,1643
19429,#СидЯдома,episode,19870,Комедия,1712
19024,#СидЯдома,episode,19870,Комедия,1873
22543,#СидЯдома,episode,19870,Комедия,1669
19450,#СидЯдома,episode,19870,Комедия,1748
2312,(Не)жданный принц,movie,,"Мелодрама,Комедия",4983
12655,1+1,movie,,"Драма,Комедия",6452
25771,1+1. Нарушая правила,movie,,Комедийная драма,6323
25051,1+1: Голливудская история,movie,,"Драма,Комедия",7246
24954,10 000 лет до н.э.,movie,,"Фэнтезийный боевик,Приключения,Драма",6264
